LIBNAME,MEMNAME,MEMLABEL,TYPEMEM,NAME,TYPE,LENGTH,VARNUM,LABEL,FORMAT,FORMATL,FORMATD,INFORMAT,INFORML,INFORMD,JUST,NPOS,NOBS,ENGINE,CRDATE,MODATE,DELOBS,IDXUSAGE,MEMTYPE,IDXCOUNT,PROTECT,FLAGS,COMPRESS,REUSE,SORTED,SORTEDBY,CHARSET,COLLATE,NODUPKEY,NODUPREC,ENCRYPT,POINTOBS,GENMAX,GENNUM,GENNEXT,TRANSCOD
WORK,QUERY,,,CRScore,1,8,39,Credit Score,,0,0,,0,0,1,304,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,CashBk,1,8,4,Number Cash Back,,0,0,,0,0,1,24,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,Checks,1,8,5,Number of Checks,,0,0,,0,0,1,32,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,DDA,1,8,2,Checking Account,,0,0,,0,0,1,8,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,DDABal,1,8,3,Checking Balance,,0,0,,0,0,1,16,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,Dep,1,8,45,Checking Deposits,,0,0,,0,0,1,336,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,DepAmt,1,8,46,Amount Deposited,,0,0,,0,0,1,344,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,DirDep,1,8,6,Direct Deposit,,0,0,,0,0,1,40,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,HMOwn,1,8,35,Owns Home,,0,0,,0,0,1,272,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,HMVal,1,8,37,Home Value,,0,0,,0,0,1,288,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,ILS,1,8,23,Installment Loan,,0,0,,0,0,1,176,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,ILSBal,1,8,24,Loan Balance,,0,0,,0,0,1,184,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,IRA,1,8,19,Retirement Account,,0,0,,0,0,1,144,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
